Site ID,Start date,End date
M07,2010-09-03,2010-09-16
M07,2011-03-07,2011-07-30
M07,2011-09-10,2011-11-02
M07,2012-01-08,2012-03-22
M07,2012-08-14,2012-10-22
M07,2012-10-26,2013-03-22
M08,2010-09-03,2010-09-16
M08,2011-03-08,2011-07-31
M08,2011-09-10,2013-04-24
M09,2010-09-04,2010-10-28
M09,2011-03-10,2011-08-05
M09,2011-11-23,2012-01-12
M09,2012-03-24,2012-05-18
M09,2012-05-31,2012-07-20
M09,2012-08-14,2012-08-15
M09,2012-10-27,2013-04-07
M10,2010-09-10,2010-11-05
M10,2011-03-22,2011-05-11
M10,2012-03-02,2012-03-06
M10,2012-06-11,2012-06-14
M10,2012-08-14,2012-09-14
M10,2012-10-27,2012-12-18
M10,2013-01-05,2013-03-01
M11,2010-09-19,2010-09-28
M11,2012-03-02,2012-04-12
M11,2012-05-02,2012-06-17
M11,2012-07-26,2012-09-08
M11,2012-09-21,2012-10-10
M11,2012-11-20,2012-12-05
M11,2013-02-02,2013-04-22
M12,2010-09-19,2010-09-26
M12,2011-02-18,2011-02-18
M12,2012-05-02,2012-05-20
M12,2012-07-26,2012-10-25
M12,2012-11-20,2012-12-11
M12,2013-02-02,2013-02-18
M13,2010-09-19,2010-10-09
M13,2011-02-18,2011-02-25
M13,2012-03-02,2012-07-10
M13,2012-07-26,2013-04-29
N02,2012-05-01,2013-03-14
N03,2011-09-06,2011-11-01
N03,2012-03-19,2012-05-23
N03,2012-05-26,2012-08-11
N03,2012-10-20,2012-12-29
